infoid,Title,Content,Pricetag,Image,City_name,ID_City,Vehicle_name,Odometer,License_plate,Cubic_power,Manufacture_year,ID_VehicleBrand,ID_VehicleLineup,Condition,ID_VehicleType,ID_Color
30,Honda Air Blade 125 FI 2014,"- Honda ab 125 fi 
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2014
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 26.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",26500000,https://cdn.okxe.vn/products/842/1195842/1195842_389086_review-0_20221205014446_6PhFiRuV_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Air Blade 125 FI,30000,,125.0,2014,15,148,2,1,3
31,Yamaha Sirius 110 2010,cần ban xe sirius hq m&agrave;u xanh banh m&acirc;m xe đẹp m&aacute;y &ecirc;m chạy rất lợi xăng nước sơn rin c&aacute;c chức năng c&ograve;n đầy đủ gi&aacute; 6tr9,6900000,https://cdn.okxe.vn/products/841/1195841/1195841_930864_IMG20221111160412_20221205014438_D00HFYIO_m_400x400.jpg,Tp. Hồ Chí Minh,50,Yamaha Sirius 110,5000,,110.0,2010,40,512,2,2,13
32,SYM Shark 125 2010,Em cần b&aacute;n chiếc xe SYM Shark. xe m&aacute;y zin rất &ecirc;m. xe nh&agrave; Em sử dụng rất kỹ. xe như trong h&igrave;nh. xem xe ở nh&agrave; Em 29 đường b&igrave;nh ph&uacute; P10 Q6,9300000,https://cdn.okxe.vn/products/840/1195840/1195840_312006_IMG_20221130_161408_20221205014436_mLezGceN_m_400x400.jpg,Tp. Hồ Chí Minh,50,SYM Shark 125,5000,,125.0,2010,35,449,2,1,3
33,Honda Air Blade 125 FI 2016,"Cần bán xe chính chủ ,máy móc nguyên bản tuyệt đối, giấy tờ đầy đủ, xe vừa bóc nilon nên còn cực đẹp, giá ae nào có nhu cầu liên hệ",20000000,https://cdn.okxe.vn/products/839/1195839/1195839_1451041_3._20221205014422_M42LfXYE_m_400x400.jpg,Tp. Hà Nội,1,Honda Air Blade 125 FI,5000,,125.0,2016,15,148,2,1,5
34,Honda Wave S 110 2016,Xe nh&agrave; d&ugrave;ng n&ecirc;n y&ecirc;n t&acirc;m về chất lượng . Xe đẹp hỗ chợ sang t&ecirc; đổi chủ.,8200000,https://cdn.okxe.vn/products/838/1195838/1195838_1511645_6._20221205014412_1DFg0oEu_m_400x400.jpg,Tp. Hà Nội,1,Honda Wave S 110,5000,,110.0,2016,15,1700,2,2,10
35,Honda Air Blade 125 FI 2016,"- Honda ab 125 fi 
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2016
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 29.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",29500000,https://cdn.okxe.vn/products/837/1195837/1195837_389086_review-0_20221205014359_UApWhjGz_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Air Blade 125 FI,20000,,125.0,2016,15,148,2,1,10
36,Honda MSX 125 2020,"xe sử dụng từ mới đi giữ g&igrave;n thay dầu bảo dưỡng định k&igrave; d&aacute;n nilon từ mới. c&aacute;c b c&oacute; thể dẫn thợ đến kiểm tra,mua b&aacute;n tại nh&agrave; . c&oacute; nhu cầu alo nh&eacute;.",24500000,https://cdn.okxe.vn/products/836/1195836/1195836_1451041_3._20221205014345_0Db9TUmA_m_400x400.jpg,Tp. Hà Nội,1,Honda MSX 125,5000,,125.0,2020,15,165,2,2,1
37,Honda Wave Alpha 110i 2002,cần ban xe wave hq m&agrave;u trắng đen zx banh m&acirc;m thằng đĩa xe đẹp m&aacute;y &ecirc;m chạy rất lợi xăng nước sơn rin c&aacute;c chức năng c&ograve;n đầy đủ gi&aacute; 6tr5,6500000,https://cdn.okxe.vn/products/835/1195835/1195835_930864_IMG20220708172756_20221205014332_FyLUbdKl_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Wave Alpha 110i,5000,,109.0,2002,15,1055,2,2,1
38,Yamaha Janus 2019 2022,"🌎 Website : xemaytuananh.com/honda
🌻🌻#𝑿𝑬_𝑴𝑨́𝒀_𝑻𝑼𝑨̂́𝑵_𝑨𝑵𝑯 🛵🛵
🌻 #Ｈ&Agrave;ＮＧ_ＭỚＩ_ＶỀ 🎁 
                          🅒🅗&agrave;🅞  🅑&aacute;🅝

🎗🎗 𝐂𝐡𝐢̉ 𝐜𝐚̂̀𝐧 𝐭𝐫𝐚̉ trước 15 𝐭𝐫𝐢𝐞̣̂𝐮 đ𝐚̃ 𝐜𝐨́ 𝐱𝐞 đ𝐢
☘️☘️ #Janus_Smartkey_110cc_2022_XUẤT_SẮC_CHẤT_LƯỢNG_HIẾM_XUẤT_SẮC_BẢN_ĐẶC_BIỆT
 👉 Biển số:                                          29D2 - 653.79 ( #VIP)
👉 Đăng K&iacute;   :                                       08/2022
👉 Dung T&iacute;ch :                                     110cc         
👉 Odo      :                                          900 Km ( #BAO_TEST)
👉 Ch&iacute;nh chủ :                                    ✍️
👉👉 Gi&aacute; 💌:                                    3x   

🎗 𝐇𝐎̂̃ 𝐓𝐑𝐎̛̣ #𝐓𝐫𝐚̉_𝐆𝐨́𝐩 𝐋𝐄̂𝐍 𝐓𝐎̛́𝐈  40 𝐭𝐫𝐢𝐞̣̂𝐮 𝐐𝐔𝐀 𝐂𝐂𝐂𝐃 𝐇𝐎𝐀̣̆𝐂 𝐂𝐌𝐍𝐃

🎗 𝐇𝐎̂̃ 𝐓𝐑𝐎̛̣ #𝐓𝐫𝐚̉_𝐆𝐨́𝐩 𝐐𝐔𝐀 𝐓𝐇𝐄̉ 𝐓𝐈́𝐍 𝐃𝐔̣𝐍𝐆

👉👉 𝐇𝐎̂̃ 𝐓𝐑𝐎̛̣ 𝐋𝐀̀𝐌 𝐓𝐇𝐄̉ 𝐓𝐈́𝐍 𝐃𝐔̣𝐍𝐆 𝐇𝐎𝐀̣̆𝐂 𝐇𝐎̂̃ 𝐓𝐑𝐎̛̣ 𝐕𝐀𝐘 𝐕𝐎̂́𝐍 𝐊𝐇𝐎̂𝐍𝐆 𝐂𝐀̂̀𝐍 𝐓𝐀̀𝐈 𝐒𝐀̉𝐍 Đ𝐀̉𝐌 𝐁𝐀̉𝐎
&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;

                   🛵🛵𝑿𝑬 𝑴𝑨́𝒀 𝑻𝑼𝑨̂́𝑵 𝑨𝑵𝑯🛵🛵

🏪 Đ𝐢̣𝐚 𝐂𝐡𝐢̉: 𝟗𝟐𝟔 Đ𝐮̛𝐨̛̀𝐧𝐠 𝐋𝐚́𝐧𝐠- 𝐋𝐚́𝐧𝐠 𝐓𝐡𝐮̛𝐨̛̣𝐧𝐠 - Đ𝐨̂́𝐧𝐠 Đ𝐚 - 𝐇𝐚̀ 𝐍𝐨̣̂𝐢 

☎️𝐇𝐨𝐭𝐥𝐢𝐧𝐞 -𝐙𝐚𝐥𝐨 -𝐈𝐦𝐞𝐬𝐬: 𝟎𝟗.𝟏𝟐.𝟕𝟕𝟐.𝟎𝟗𝟖 -               𝟎𝟗.𝟖𝟕.𝟓𝟖𝟏.𝟐𝟔𝟐 -  𝟎𝟗.𝟖𝟔.𝟐𝟏𝟐.𝟗𝟗𝟗

📞𝐂𝐒𝐊𝐇 : 𝐌𝐑. 𝐕𝐢𝐞̣̂𝐭 𝐇𝐮̛𝐧𝐠   &mdash;&mdash;-  𝟎𝟗𝟖𝟔 𝟐𝟏𝟐𝟗𝟗𝟗

🌐 🅵🅰🅽🅿🅰🅶🅴 : 
https://www.facebook.com/xemaytuananh.926lang/

🤝🤝 𝐍𝐇𝐎́𝐌 𝐂𝐎̣̂𝐍𝐆 𝐓𝐀́𝐂 𝐕𝐈𝐄̂𝐍 𝐁𝐀́𝐍 𝐇𝐀̀𝐍𝐆 : https://zalo.me/g/dzirwv823

🌎Website :  https://xemaytuananh.com/

🎬 Tiktok : www.tiktok.com/@xemaytuananh926lang

&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;-
👇👇👇👇👇👇👇👇👇👇👇👇👇👇
👍  Cam kết m&aacute;y nguy&ecirc;n  bản tuyệt đối. Sai xin ho&agrave;n 100% tiền cho kh&aacute;ch h&agrave;ng
👍👍 Bảo h&agrave;nh Uy T&iacute;n
✔️✔️ Janus   qu&aacute; quen thuộc trong danh s&aacute;ch c&aacute;c d&ograve;ng xe được ưa chuộng của thương hiệu YAMAHA.

============&bull;💙💙💙💙&bull;===========

        👉👉 𝐂𝐔̛̉𝐀 𝐇𝐀̀𝐍𝐆 𝐗𝐄 𝐌𝐀́𝐘 𝐓𝐔𝐀̂́𝐍 𝐀𝐍𝐇 
               &quot; 𝑁𝑜̛𝑖 𝑐ℎ𝑎̂́𝑡 𝑙𝑢̛𝑜̛̣𝑛𝑔 𝑡𝑎̣𝑜 𝑑𝑢̛̣𝑛𝑔 𝑛𝑖𝑒̂̀𝑚 𝑡𝑖𝑛&quot; 

🎗 𝐇𝐨̂̃ 𝐭𝐫𝐨̛̣ 𝐭𝐫𝐚̉ 𝐠𝐨́𝐩  𝐍𝐎̛̣ 𝐋𝐀̣𝐈 𝐥𝐞̂𝐧 đ𝐞̂́𝐧 𝟒𝟎 𝐭𝐫𝐢𝐞̣̂𝐮 𝐜𝐡𝐢̉ 𝐜𝐚̂̀𝐧 𝐂𝐂𝐂𝐃
🎗 Hỗ trợ trả g&oacute;p  0% qua #thẻ t&iacute;n dụng
🎗 Thanh to&aacute;n #quẹt_thẻ 
🎗 Bảo h&agrave;nh động cơ xe 3 năm
🎗 Bảo h&agrave;nh  𝐀𝐍 𝐍𝐈𝐍𝐇 𝐕𝐀̀ 𝐆𝐈𝐀̂́𝐘 𝐓𝐎̛̀  xe trọn đời
🎗 C&oacute; đầy đủ dịch vụ Sang T&ecirc;n, r&uacute;t hồ sơ trọn g&oacute;i
🎗 Hỗ trợ mua lại xe gi&aacute; #𝐓𝐎̂́𝐓_𝐍𝐇𝐀̂́𝐓 thị trường
🎗 Bảo H&agrave;nh tận t&igrave;nh v&agrave; chu đ&aacute;o nhất cho kh&aacute;ch h&agrave;ng.
🎗 Bảo h&agrave;nh 15 ng&agrave;y test từng lỗi nhỏ sửa miễn ph&iacute;.

📣📣 Mua Liberty, Vecpa, SH việt, nhập... ( Xe chất ). Số lượng kh&ocirc;ng giới hạn.

#SHNhập #Shviệt #xemaycu #muabantraođổixe #Vecpa #Liberty #Honda #Xemaytuananh #Uytin",33900000,https://cdn.okxe.vn/products/834/1195834/1195834_3736_review-0_20221205014318_0OwMdTx9_m_400x400.jpg,Tp. Hà Nội,1,Yamaha Janus 2019,5000,,125.0,2022,40,525,2,1,10
39,Yamaha Nouvo 4 135 2012,Em b&aacute;n chiếc xe Yamaha Nouvo 4 xe nh&agrave; sử dụng rất kỹ m&aacute;y &ecirc;m xe như trong h&igrave;nh do &iacute;t sử dụng n&ecirc;n b&aacute;n. xem xe ở nh&agrave; Em 29 đường b&igrave;nh ph&uacute; P10 Q6,6600000,https://cdn.okxe.vn/products/833/1195833/1195833_312006_IMG_20221128_155449_20221205014315_6lm7CrLK_m_400x400.jpg,Tp. Hồ Chí Minh,50,Yamaha Nouvo 4 135,30000,,135.0,2012,40,1082,2,2,10
40,Honda MSX 125 2019,Cần b&aacute;n Honda MSX 125 đ&egrave;n LED m&agrave;u xanh ch&iacute;nh chủ 2019 đời cao.xe m&aacute;y m&oacute;c nguy&ecirc;n bản giấy tờ đầy đủ anh chị n&agrave;o thiện ch&iacute; mua qua nh&agrave; xem xe gi&aacute; cả c&oacute; thương lượng,21000000,https://cdn.okxe.vn/products/832/1195832/1195832_1511662_1._20221205014310_FIKSwsif_m_400x400.jpg,Tp. Hà Nội,1,Honda MSX 125,5000,,125.0,2019,15,165,2,2,14
41,Yamaha FZS FI 2019,"Cần b&aacute;n FZ  150 m&agrave;u TRẮNG  ch&iacute;nh chủ bản 2019.XE vẫn nguy&ecirc;n bản m&aacute;y chất, bạn n&agrave;o mua m&agrave; c&oacute; nhu cầu sang t&ecirc;n đổi chủ m&igrave;nh sẽ gi&uacute;p đỡ nhiệt t&igrave;nh v&igrave; xe ch&iacute;nh chủ t&ecirc;n m&igrave;nh. Li&ecirc;n hệ trực tiếp với m&igrave;nh nh&eacute;. xin tr&acirc;n trọng cảm ơn",22000000,https://cdn.okxe.vn/products/831/1195831/1195831_654012_3._20221205014250_ozxviegq_m_400x400.jpg,Tp. Hà Nội,1,Yamaha FZS FI,5000,,149.0,2019,40,536,2,2,1
42,Honda Vario 150 2022,"#XE_M&Aacute;Y_CŨ_VĂN_THAO_CH&Agrave;O_B&Aacute;N
 (Hỗ trợ trả g&oacute;p qua thẻ t&iacute;n dụng v&agrave; Nhận thu mua lại xe đ&atilde; qua sử dụng)
❤️HONDA  VARIO  150cc  đ&atilde; r&uacute;t hồ sơ gốc, kh&aacute;ch chỉ việc bấm biển sang t&ecirc;n
✔️Năm sản xuất: 2022
✔️M&agrave;u: Xanh 
✔️Km:   4000km
✔️Gi&aacute; b&aacute;n :  54.000.000vnđ
✅ biển kiểm so&aacute;t : 
Đổi xe kh&ocirc;ng t&iacute;nh ph&iacute; trong 10 ng&agrave;y
Hỗ trợ thủ tục sang t&ecirc;n cho kh&aacute;ch h&agrave;ng.
Cửa h&agrave;ng ch&uacute;ng t&ocirc;i chuy&ecirc;n mua b&aacute;n trao đổi c&aacute;c loại xe đ&atilde; qua sử dụng.
- Mọi chiếc xe tại cửa h&agrave;ng đều đ&atilde; được kiểm tra cẩn thận về chất lượng cũng như đảm bảo ph&aacute;p l&yacute; của xe.
- Cửa h&agrave;ng c&oacute; đầy đủ dịch vụ sang t&ecirc;n,đổi biển,cấp lại đăng k&yacute; cho kh&aacute;ch c&oacute; nhu cầu sang t&ecirc;n trong thơi gian ngắn nhất.
- Chế độ bảo h&agrave;nh từ 6 th&aacute;ng đến 1 năm.
- Bảo h&agrave;nh tận nơi cho kh&aacute;ch trong nội th&agrave;nh h&agrave; nội.
- Hỗ trợ mua b&aacute;n trao đổi xe với gi&aacute; cao cho kh&aacute;ch mua b&aacute;n tại cửa h&agrave;ng.
- Đổi xe trong 10 ng&agrave;y đầu nếu kh&aacute;ch kh&ocirc;ng ưng &yacute;.
- C&oacute; dịch vụ vận chuyển sau mua h&agrave;ng cho kh&aacute;ch.
- Thanh to&aacute;n online,quẹt thẻ nhanh gọn.
Địa chỉ: 23 ng&otilde; 87 phố Nguyễn Phong Sắc , quận Cầu Giấy, H&agrave; Nội.
Hotline /zalo : 0904.991.733",54000000,https://cdn.okxe.vn/products/830/1195830/1195830_188851_review-0_20221205014223_nh1Q0JCj_m_400x400.jpg,Tp. Hà Nội,1,Honda Vario 150,5000,,150.0,2022,15,178,2,1,5
43,Honda Winner 150 2020,"winner x 2020 abs xe zin đẹp
chạy &iacute;t 
cm chủ đầy đủ",24500000,https://cdn.okxe.vn/products/829/1195829/1195829_1056730_review-0_20221205014203_XVaKBh8v_m_400x400.jpg,Tỉnh Bình Dương,47,Honda Winner 150,5000,,149.0,2020,15,180,2,2,16
44,Honda Air Blade 110 2018,"Ch&iacute;nh chủ m&igrave;nh cần b&aacute;n chiếc xe HONDA  ẢI BLADE 110   xe m&igrave;nh đi rất giữ g&igrave;n , động cơ bảo dưỡng h&atilde;ng định kỳ , ai mua về sẵn đi th&ocirc;i
quan t&acirc;m mời qua nh&agrave; xem xe trực tiếp,gi&aacute; cả c&oacute; thương lượng",15000000,https://cdn.okxe.vn/products/828/1195828/1195828_1128_6._20221205014157_j06bRFYy_m_400x400.jpg,Tp. Hà Nội,1,Honda Air Blade 110,5000,,108.0,2018,15,148,2,1,1
45,Brixton BX 150 R 2019,Xe c&oacute; giấy tờ đầy đủ sang t&ecirc;n đổi chủ nhanh gọn. M&aacute;y m&oacute;c nguy&ecirc;n bản chưa qua sửa chữa. Bao ngon bao chất.b n&agrave;o ưng lh đến nh&agrave; xem xe cụ thể,28000000,https://cdn.okxe.vn/products/827/1195827/1195827_228116_4._20221205014156_rKmH08oR_m_400x400.jpg,Tp. Hà Nội,1,Brixton BX 150 R,5000,,150.0,2019,5,31,2,3,13
46,Honda Wave Alpha 110 2008,cần ban xe wave hq m&agrave;u trắng banh t&acirc;m xe đẹp m&aacute;y &ecirc;m chạy rất lợi xăng nước sơn rin c&aacute;c chức năng c&ograve;n đầy đủ gi&aacute; 5tr9,5900000,https://cdn.okxe.vn/products/826/1195826/1195826_930864_IMG20220923154328_20221205014154_MBpjzwRC_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Wave Alpha 110,5000,,109.0,2008,15,1055,2,2,1
47,Yamaha Janus 2019 2018,"Hiện tại t&ocirc;i c&oacute; chiếc xe kh&ocirc;ng sử dụng nửa muốn b&aacute;n:
xe h&igrave;nh thức c&ograve;n đẹp m&aacute;y m&oacute;c nguy&ecirc;n &ecirc;m zin đồ đạc cũng zin theo xe
mọi chức năng c&ograve;n hoạt động tốt xe h&atilde;ng tiết kiệm xăng",16500000,https://cdn.okxe.vn/products/825/1195825/1195825_532_2._20221205014134_ScR1MnYH_m_400x400.jpg,Tp. Hà Nội,1,Yamaha Janus 2019,5000,,125.0,2018,40,525,2,1,3
48,Honda PCX 125 2017,Em b&aacute;n chiếc xe Honda PCX mẫu mới xe m&aacute;y nguy&ecirc;n zin cực &ecirc;m. ch&iacute;nh chủ c&ocirc;ng chứng sang t&ecirc;n ngay. bảo đảm xe như trong h&igrave;nh đẹp như mới.  xe do &iacute;t sử dụng n&ecirc;n b&aacute;n.  xem xe ở nh&agrave; Em 29 đường b&igrave;nh ph&uacute; P10 Q6,36800000,https://cdn.okxe.vn/products/824/1195824/1195824_312006_IMG_20221102_133348_1_20221205014133_hOoFvL82_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda PCX 125,20000,,125.0,2017,15,166,2,1,10
49,Yamaha MT 15 2021,"#XE_M&Aacute;Y_CŨ_VĂn_THAO_CH&Agrave;O_B&Aacute;N
( Hỗ trợ trả g&oacute;p qua thẻ t&iacute;n dụng v&agrave; Nhận thu mua những xe đ&atilde; qua sử dụng)
❤️YAMAHA  MT15  155cc  VVA  biển Tứ qu&yacute; chủ phố
✔️Năm sản xuất: 2021
✔️M&agrave;u: Đen
✔️Km:   1000km
✔️Gi&aacute; b&aacute;n :  92.000.000vnđ
✅ biển kiểm so&aacute;t : 29P1-87777
Đổi xe kh&ocirc;ng t&iacute;nh ph&iacute; trong 10 ng&agrave;y
Hỗ trợ thủ tục sang t&ecirc;n cho kh&aacute;ch h&agrave;ng . 
Cửa h&agrave;ng ch&uacute;ng t&ocirc;i chuy&ecirc;n mua b&aacute;n trao đổi c&aacute;c loại xe đ&atilde; qua sử dụng.
- Mọi chiếc xe tại cửa h&agrave;ng đều đ&atilde; được kiểm tra cẩn thận về chất lượng cũng như đảm bảo ph&aacute;p l&yacute; của xe.
- Cửa h&agrave;ng c&oacute; đầy đủ dịch vụ sang t&ecirc;n,đổi biển,cấp lại đăng k&yacute; cho kh&aacute;ch c&oacute; nhu cầu sang t&ecirc;n trong thơi gian ngắn nhất.
- Chế độ bảo h&agrave;nh từ 6 th&aacute;ng đến 1 năm.
- Bảo h&agrave;nh tận nơi cho kh&aacute;ch trong nội th&agrave;nh h&agrave; nội.
- Hỗ trợ mua b&aacute;n trao đổi xe với gi&aacute; cao cho kh&aacute;ch mua b&aacute;n tại cửa h&agrave;ng.
- Đổi xe trong 10 ng&agrave;y đầu nếu kh&aacute;ch kh&ocirc;ng ưng &yacute;.
- C&oacute; dịch vụ vận chuyển sau mua h&agrave;ng cho kh&aacute;ch.
- Thanh to&aacute;n online,quẹt thẻ nhanh gọn.
Địa chỉ: 23 ng&otilde; 87 phố Nguyễn Phong Sắc , quận Cầu Giấy, H&agrave; Nội.
Hotline/Zalo : 0904.991.733",92000000,https://cdn.okxe.vn/products/823/1195823/1195823_188851_review-0_20221205014044_R4CQT3aM_m_400x400.jpg,Tp. Hà Nội,1,Yamaha MT 15,5000,,155.0,2021,40,531,2,2,3
50,Ducati Mini 110 2021,"Cần bán xe chính chủ ,máy móc nguyên bản tuyệt đối, giấy tờ đầy đủ, xe vừa bóc nilon nên còn cực đẹp, giá ae nào có nhu cầu liên hệ",13800000,https://cdn.okxe.vn/products/822/1195822/1195822_911570_4._20221205014042_SpZ1RovV_m_400x400.jpg,Tp. Hà Nội,1,Ducati Mini 110,5000,,110.0,2021,9,1075,2,3,10
51,Honda LEAD 110 2015,"Cần b&aacute;n xe mới như h&igrave;nh m&aacute;y m&oacute;c &ecirc;m bốc nguy&ecirc;n bản,xe gia đ&igrave;nh sử dụng do đổi xe n&ecirc;n b&aacute;n lại cho ai cần xe được bảo dưỡng đầy đủ mua b&aacute;n tại nh&agrave;,anh chị em mua Alo m&igrave;nh",8800000,https://cdn.okxe.vn/products/820/1195820/1195820_1874_5._20221205013943_RkgKDoXJ_m_400x400.jpg,Tp. Hà Nội,1,Honda LEAD 110,5000,,107.0,2015,15,145,2,1,4
52,Yamaha Acruzo Deluxe 2016 2021,"Cần b&aacute;n Yamaha ACRUZO 125 ĐỎ  mua năm 2021,xe mới đi hơn 400km xe k 1 lỗi lầm g&igrave; ,Mua b&aacute;n v&agrave; xem xe tại nh&agrave; gi&aacute; cả c&oacute; thương lượng.Giấy tờ chuẩn chỉ.gi&aacute; c&oacute; thương lượng",12000000,https://cdn.okxe.vn/products/819/1195819/1195819_1727_3._20221205013927_fZGjLKcI_m_400x400.jpg,Tp. Hà Nội,1,Yamaha Acruzo Deluxe 2016,5000,,125.0,2021,40,522,2,1,10
53,Yamaha Jupiter FI 2021,"Xe còn nguyên bản như mới ít đi nên vẫn còn mới, máy chạy vẫn còn khỏe và chắc chắn, mọi thứ vẫn hoạt động bình thường, mua về chỉ việc sử dụng thôi ak. M&igrave;nh bảo h&agrave;nh tất cả đều nguy&ecirc;n bản
Ai mua xe alo cho m&igrave;nh sớm.",12800000,https://cdn.okxe.vn/products/818/1195818/1195818_532_4._20221205013909_0X84GlGr_m_400x400.jpg,Tp. Hà Nội,1,Yamaha Jupiter FI,5000,,114.0,2021,40,528,2,2,3
54,Yamaha NVX 155 ABS 2017,"#XE_M&Aacute;Y_CŨ_VĂN_THAO_CH&Agrave;O_B&Aacute;N
 ( hỗ trợ trả g&oacute;p qua thẻ t&iacute;n dụng v&agrave; nhận thu mua lại xe đ&atilde; qua sử dụng)
❤️YAMAHA  NVX  155cc   ABS  kho&aacute; th&ocirc;ng minh
✔️Năm sản xuất: 2017
✔️M&agrave;u: Trắng đen
✔️Km:   12000km
✔️Gi&aacute; b&aacute;n :  30.500.000vnđ
✅ biển kiểm so&aacute;t : 12D1- 190.90
Đổi xe kh&ocirc;ng t&iacute;nh ph&iacute; trong 10 ng&agrave;y
Hỗ trợ thủ tục sang t&ecirc;n cho kh&aacute;ch h&agrave;ng.
Cửa h&agrave;ng ch&uacute;ng t&ocirc;i chuy&ecirc;n mua b&aacute;n trao đổi c&aacute;c loại xe đ&atilde; qua sử dụng.
- Mọi chiếc xe tại cửa h&agrave;ng đều đ&atilde; được kiểm tra cẩn thận về chất lượng cũng như đảm bảo ph&aacute;p l&yacute; của xe.
- Cửa h&agrave;ng c&oacute; đầy đủ dịch vụ sang t&ecirc;n,đổi biển,cấp lại đăng k&yacute; cho kh&aacute;ch c&oacute; nhu cầu sang t&ecirc;n trong thơi gian ngắn nhất.
- Chế độ bảo h&agrave;nh từ 6 th&aacute;ng đến 1 năm.
- Bảo h&agrave;nh tận nơi cho kh&aacute;ch trong nội th&agrave;nh h&agrave; nội.
- Hỗ trợ mua b&aacute;n trao đổi xe với gi&aacute; cao cho kh&aacute;ch mua b&aacute;n tại cửa h&agrave;ng.
- Đổi xe trong 10 ng&agrave;y đầu nếu kh&aacute;ch kh&ocirc;ng ưng &yacute;.
- C&oacute; dịch vụ vận chuyển sau mua h&agrave;ng cho kh&aacute;ch.
- Thanh to&aacute;n online,quẹt thẻ nhanh gọn.
Địa chỉ: 23 ng&otilde; 87 phố Nguyễn Phong Sắc , quận Cầu Giấy, H&agrave; Nội.
Hotline / Zalo: 0904.991.733",30500000,https://cdn.okxe.vn/products/817/1195817/1195817_188851_review-0_20221205013907_14Ia5LW7_m_400x400.jpg,Tp. Hà Nội,1,Yamaha NVX 155 ABS,20000,,155.0,2017,40,542,2,1,1
55,Yamaha Exciter 150 2019,"M&igrave;nh c&oacute; chiếc xe n&agrave;y đang cần b&aacute;n, xe c&ograve;n nguy&ecirc;n bản
M&aacute;y m&oacute;c nguy&ecirc;n bản hết. Xe đi ngon v&agrave; rất tiết kiệm xăng
Ai c&oacute; nhu cầu xin lh ạh&mdash;",20500000,https://cdn.okxe.vn/products/816/1195816/1195816_532_2._20221205013815_zY4Vee4H_m_400x400.jpg,Tp. Hà Nội,1,Yamaha Exciter 150,5000,,150.0,2019,40,535,2,2,1
56,Honda Wave Alpha 110i 2019,"Xe nh&agrave; k d&ugrave;ng cần b&aacute;n lại cho ai c&oacute; nhu cầu
Xe m&aacute;y m&oacute;c zin h&igrave;nh thức đẹp mua về sẵn đi k lỗi lầm g&igrave;
Nilong d&aacute;n k&iacute;n xe ch&iacute;nh chủ nữ d&ugrave;ng ch&iacute;nh chủ mua năm 2019 xe c&ograve;n rất mới v&agrave; đẹp, mua lh trực tiếp.",10000000,https://cdn.okxe.vn/products/815/1195815/1195815_1048790_1._20221205013754_cfpXY55q_m_400x400.jpg,Tp. Hà Nội,1,Honda Wave Alpha 110i,5000,,109.0,2019,15,1055,2,2,1
57,Honda Air Blade 110 2019,"cần b&aacute;n chiếc xe honda Airblade 125 Fi đề từ nguy&ecirc;n bản ch&iacute;nh chủ , xe mua mới từ đầu , sang t&ecirc;n dễ d&agrave;ng
ai mua li&ecirc;n hệ trực tiếp m&igrave;nh nha !",24000000,https://cdn.okxe.vn/products/814/1195814/1195814_2254_5._20221205013752_Hm2xOTAd_m_400x400.jpg,Tp. Hà Nội,1,Honda Air Blade 110,5000,,108.0,2019,15,148,2,1,10
58,Honda Air Blade 110 FI 2012,"Cần b&aacute;n ab như h&igrave;nh
m&aacute;y m&oacute;c &ecirc;m ru
giấy tờ đầy đủ
gi&aacute; 13tr3
xem xe tại 135, đường số 51, t&acirc;n quy, quận 7",13300000,https://cdn.okxe.vn/products/813/1195813/1195813_283586_IMG_20221205_133457_20221205013738_hA6hzPod_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Air Blade 110 FI,5000,,108.0,2012,15,148,2,1,16
59,Honda Air Blade 110 2013,"Cần bán xe chính chủ ,máy móc nguyên bản tuyệt đối, giấy tờ đầy đủ, xe vừa bóc nilon nên còn cực đẹp, giá ae nào có nhu cầu liên hệ",13000000,https://cdn.okxe.vn/products/812/1195812/1195812_911586_4._20221205013700_uM1yX8Kd_m_400x400.jpg,Tp. Hà Nội,1,Honda Air Blade 110,5000,,108.0,2013,15,148,2,1,10
